Map ID, Day number, Animals number, Plants number, Empty Tile, Most Popular Genome, Most Popular Genome Appearance, Second Most Popular Genome, Second Most Popular Genome Appearance, Third Most Popular Genome, Third Popular Genome Appearance, Average Energy Level, Average Life Length, Average Kids Number
95053842-7ca2-4308-b11d-20ac8bbd5a88, 0, 0, 0, 0, most popular genome not found, 0, second most popular genome not found, 0, third most popular genome not found, 0, 0.0, 0.0, 0.0
95053842-7ca2-4308-b11d-20ac8bbd5a88, 0, 0, 0, 0, most popular genome not found, 0, second most popular genome not found, 0, third most popular genome not found, 0, 0.0, 0.0, 0.0
95053842-7ca2-4308-b11d-20ac8bbd5a88, 0, 0, 0, 0, most popular genome not found, 0, second most popular genome not found, 0, third most popular genome not found, 0, 0.0, 0.0, 0.0
95053842-7ca2-4308-b11d-20ac8bbd5a88, 0, 0, 0, 0, most popular genome not found, 0, second most popular genome not found, 0, third most popular genome not found, 0, 0.0, 0.0, 0.0
95053842-7ca2-4308-b11d-20ac8bbd5a88, 0, 0, 0, 0, most popular genome not found, 0, second most popular genome not found, 0, third most popular genome not found, 0, 0.0, 0.0, 0.0
95053842-7ca2-4308-b11d-20ac8bbd5a88, 0, 0, 0, 0, most popular genome not found, 0, second most popular genome not found, 0, third most popular genome not found, 0, 0.0, 0.0, 0.0
95053842-7ca2-4308-b11d-20ac8bbd5a88, 0, 0, 0, 0, most popular genome not found, 0, second most popular genome not found, 0, third most popular genome not found, 0, 0.0, 0.0, 0.0
